timestamp,method,url,path,response_code,query_string,body,content_length
2025-01-15T10:00:01Z,GET,http://example.com/index.html,/index.html,200,,,0
2025-01-15T10:00:02Z,POST,http://example.com/api/login,/api/login,200,,username=admin&password=secret,35
2025-01-15T10:00:03Z,GET,http://example.com/products,/products,200,category=electronics,,0
2025-01-15T10:00:04Z,POST,http://example.com/api/login,/api/login,401,,username=admin' OR '1'='1--&password=x,42
2025-01-15T10:00:05Z,GET,http://example.com/search,/search,200,q=<script>alert('xss')</script>,,0
2025-01-15T10:00:06Z,GET,http://example.com/files,/files,400,file=../../etc/passwd,,0
2025-01-15T10:00:07Z,GET,http://example.com/about,/about,200,,,0
2025-01-15T10:00:08Z,POST,http://example.com/contact,/contact,200,,name=John&message=Hello,26
2025-01-15T10:00:09Z,GET,http://example.com/api/users,/api/users,403,id=1 UNION SELECT * FROM users,,0
2025-01-15T10:00:10Z,POST,http://example.com/upload,/upload,200,,,,0
